year,tag,countryName,population,gdp,rgoUnemploymentRate,factoryUnemploymentRate,rgoWorkforce,factoryWorkforce,continent,gdpPerCapita,totalPercentageOfUnemployed
1993,GUB,Guinea Bissau,1013404,2247376400,2.4515696,0.06466024,217167,17012,Africa,2218,2.3
1993,GUI,Guinea,6329052,15349205000,2.6738667,-8.960633,1382380,83320,Africa,2425,2
1993,GUY,Guyana,771160,1431777500,0.2088295,56.740593,170474,8026,South America,1857,2.7
1993,GZA,Gazankulu,253336,923994350,0.4843553,87.71103,51615,5094,Africa,3647,8.3
1993,HAI,Haiti,6821500,23330950000,0,-5.8225746,1420667,143373,North America,3420,-0.5
1993,HKG,Hong Kong,0,0,0,0,0,0,Asia,0,0
1993,HND,India,864799168,3.27E+12,2.399489,0.054375686,197877220,3052835,Asia,3777,2.4
1993,HON,Honduras,4801168,11682702000,0.61643285,-6.223984,995080,95373,South America,2433,0
1993,HUN,Hungary,10414988,72358020000,0.1149327,1.2685215,2082958,280011,Europe,6947,0.2
1993,HZB,Herceg-Bosa,1004676,1523118500,8.620764,100,210225,18809,Europe,1516,16.1
1993,ICL,Iceland,255848,1782148700,0.043173455,-3.912007,48641,9228,Europe,6966,-0.6
1993,IDO,Indonesia,182513520,1.08E+12,0.39624408,10.655375,38509093,3412616,Asia,5919,1.2
1993,IOM,Isle of Man,77068,1033689100,0.013321788,-4.9504952,15013,2222,Europe,13413,-0.6
1993,IRE,Ireland,3566484,23722942000,0.13781437,-5.4556794,721260,99401,Europe,6652,-0.6
1993,IRQ,Iraq,18637368,67813245000,9.680074,-5.742466,3779031,469119,Asia,3639,8
1993,ISI,Islamic State,0,0,0,0,0,0,Asia,0,0
1993,ISR,Israel ,10485104,55842926000,3.1503823,16.85567,1590918,199820,Asia,5326,4.7
1993,ITA,Italy,56029816,5.48E+11,0.4891221,-5.4196196,11292886,1535735,Europe,9775,-0.2
1993,IVC,Ivory Coast,12542796,40592093000,1.076128,-5.8672457,2624316,249981,Africa,3236,0.5
1993,JAK,Jammu and Kashmir,0,0,0,0,0,0,Asia,0,0
1993,JAM,Jamaica,2350280,7686384600,0.3405013,-6.2517786,490747,45683,North America,3270,-0.3
1993,JAP,Japan,123762804,2.08E+12,0.074338496,-3.8303738,23686247,4483244,Asia,16772,-0.5
1993,JER,Jersey,151272,628375630,0.020325202,-5.044444,29520,4500,North America,4154,-0.7
1993,JOR,Jordan,3292468,17529932000,0.2991298,-4.298687,577007,91400,Asia,5324,-0.3
1993,KAZ,Kazakhstan,16915516,82057800000,0.96535087,-4.31879,3459571,347690,Asia,4851,0.5
1993,KEN,Kenya,23951244,62590283000,2.430461,-13.273814,5352359,215394,Africa,2613,1.8
